,rank,feature,importance,cum_imp
79,80,Stay_In_Current_City_Years_X_Product_Category_2,4.492352001764584e-05,0.9995566481968973
78,81,Occupation_X_occupation_ord,4.4701782582794816e-05,0.99960134997948
77,82,Stay_In_Current_City_Years_X_occupation_ord,4.344532746477767e-05,0.9996447953069448
76,83,Age_X_Product_Category_3,4.159367527035029e-05,0.9996863889822152
75,84,occupation_d15,3.78702259906567e-05,0.9997242592082058
74,85,City_Category_X_Stay_In_Current_City_Years,3.53360830322074e-05,0.999759595291238
73,86,Product_Category_3_X_stay_city_ord,3.528822995417234e-05,0.9997948835211922
72,87,Gender_X_City_Category,3.413383837131793e-05,0.9998290173595635
71,88,Occupation_X_prod_cat_2_ord,3.352422001090824e-05,0.9998625415795744
70,89,occupation_d13,3.323622183063681e-05,0.999895777801405
69,90,City_Category_X_stay_city_ord,3.0858305637214303e-05,0.9999266361070422
68,91,stay_city_ord_X_prod_cat_2_ord,3.046157210349084e-05,0.9999570976791458
67,92,occupation_d3,2.3101802570594257e-05,0.9999801994817163
66,93,Occupation_X_Marital_Status,1.9114022261756553e-05,0.9999993135039781
65,94,age_ord,6.86496022053076e-07,1.0000000000000002
64,95,Gender,0.0,1.0000000000000002
63,96,Stay_In_Current_City_Years_X_prod_cat_1_ord,0.0,1.0000000000000002
62,97,Marital_Status_X_Product_Category_1,0.0,1.0000000000000002
61,98,occupation_d14,0.0,1.0000000000000002
60,99,occupation_d18,0.0,1.0000000000000002
59,100,Marital_Status_X_prod_cat_1_ord,0.0,1.0000000000000002
58,101,occupation_d6,0.0,1.0000000000000002
57,102,city_category_d0,0.0,1.0000000000000002
56,103,occupation_d2,0.0,1.0000000000000002
55,104,occupation_d10,0.0,1.0000000000000002
54,105,Gender_X_Occupation,0.0,1.0000000000000002
53,106,Stay_In_Current_City_Years,0.0,1.0000000000000002
52,107,occupation_d20,0.0,1.0000000000000002
51,108,city_cat_ord_X_prod_cat_2_ord,0.0,1.0000000000000002
50,109,city_category_d1,0.0,1.0000000000000002
49,110,Product_Category_2_X_occupation_ord,0.0,1.0000000000000002
48,111,Product_Category_2_X_city_cat_ord,0.0,1.0000000000000002
47,112,occupation_d17,0.0,1.0000000000000002
46,113,Age_X_Marital_Status,0.0,1.0000000000000002
45,114,occupation_ord,0.0,1.0000000000000002
44,115,City_Category,0.0,1.0000000000000002
43,116,Age_X_age_ord,0.0,1.0000000000000002
42,117,City_Category_X_prod_cat_3_ord,0.0,1.0000000000000002
41,118,Gender_X_Marital_Status,0.0,1.0000000000000002
40,119,Age_X_stay_city_ord,0.0,1.0000000000000002
39,120,Marital_Status_X_Product_Category_3,0.0,1.0000000000000002
38,121,Marital_Status_X_city_cat_ord,0.0,1.0000000000000002
37,122,occupation_d9,0.0,1.0000000000000002
36,123,City_Category_X_age_ord,0.0,1.0000000000000002
35,124,Gender_X_Stay_In_Current_City_Years,0.0,1.0000000000000002
34,125,Stay_In_Current_City_Years_X_stay_city_ord,0.0,1.0000000000000002
33,126,occupation_d4,0.0,1.0000000000000002
32,127,occupation_d1,0.0,1.0000000000000002
31,128,Gender_X_city_cat_ord,0.0,1.0000000000000002
30,129,occupation_d0,0.0,1.0000000000000002
29,130,Product_Category_3_X_city_cat_ord,0.0,1.0000000000000002
28,131,stay_city_ord_X_prod_cat_3_ord,0.0,1.0000000000000002
27,132,Marital_Status_X_stay_city_ord,0.0,1.0000000000000002
26,133,occupation_d8,0.0,1.0000000000000002
25,134,Age_X_prod_cat_2_ord,0.0,1.0000000000000002
24,135,city_cat_ord,0.0,1.0000000000000002
23,136,occupation_d7,0.0,1.0000000000000002
22,137,city_cat_ord_X_prod_cat_3_ord,0.0,1.0000000000000002
21,138,Product_Category_3,0.0,1.0000000000000002
20,139,Stay_In_Current_City_Years_X_prod_cat_2_ord,0.0,1.0000000000000002
19,140,age_ord_X_prod_cat_2_ord,0.0,1.0000000000000002
18,141,Stay_In_Current_City_Years_X_Marital_Status,0.0,1.0000000000000002
17,142,stay_city_ord,0.0,1.0000000000000002
16,143,City_Category_X_city_cat_ord,0.0,1.0000000000000002
15,144,Occupation,0.0,1.0000000000000002
14,145,Gender_X_age_ord,0.0,1.0000000000000002
13,146,Marital_Status,0.0,1.0000000000000002
12,147,prod_cat_2_ord,0.0,1.0000000000000002
11,148,Occupation_X_prod_cat_3_ord,0.0,1.0000000000000002
10,149,Gender_X_Age,0.0,1.0000000000000002
9,150,occupation_d16,0.0,1.0000000000000002
8,151,city_category_d2,0.0,1.0000000000000002
7,152,Gender_X_prod_cat_3_ord,0.0,1.0000000000000002
6,153,occupation_d12,0.0,1.0000000000000002
5,154,Stay_In_Current_City_Years_X_Product_Category_1,0.0,1.0000000000000002
4,155,occupation_d11,0.0,1.0000000000000002
3,156,stay_city_ord_X_prod_cat_1_ord,0.0,1.0000000000000002
2,157,occupation_d5,0.0,1.0000000000000002
1,158,Marital_Status_X_prod_cat_3_ord,0.0,1.0000000000000002
0,159,Stay_In_Current_City_Years_X_Product_Category_3,0.0,1.0000000000000002
